_type	layouts	name
anjuke	[{"img":"http://c.pic1.ajkimg.com/display/xinfang/27939e18d4f07a1515cff55c3f7af80d/240x180n.jpg","name":"258平联排：","layout":"别墅","area":"约258.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/70b93ba973e39139061a4b53f6dd9e19/240x180n.jpg","name":"220平联排：","layout":"别墅","area":"约220.00平米"}]	保集澜湾红墅
anjuke	[{"img":"http://c.pic1.ajkimg.com/display/xinfang/6cb11135b7eec107724a490623e3b2d7/240x180n.jpg","name":"16#楼04室：","layout":"3室2厅2卫","area":"约171.98平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/641244208bdc91b12ffe0c01ac031ebb/240x180n.jpg","name":"16#楼01室：","layout":"3室2厅2卫","area":"约170.94平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/ba965c667fc1428f9634b44d8d944265/240x180n.jpg","name":"16#楼03室：","layout":"3室2厅2卫","area":"约151.35平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/64a6d46d137310b62e02bea020ad1373/240x180n.jpg","name":"16号楼02室：","layout":"2室2厅1卫","area":"约105.20平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/6fe4d4ca25372dd4cfdc14d5330301fd/240x180n.jpg","name":"13#楼04室：","layout":"3室2厅2卫","area":"约151.37平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/168d2bd9a78be65ef6fbf38fe90ccafc/240x180n.jpg","name":"13#楼01室：","layout":"2室2厅1卫","area":"约104.96平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/57553293b52ac726b43e8edb99f534c4/240x180n.jpg","name":"13#楼03室：","layout":"2室2厅1卫","area":"约98.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/c808f4601231ab009ba1a764080e6666/240x180n.jpg","name":"13#楼02室：","layout":"1室2厅1卫","area":"约83.19平米"}]	瑞虹新城悦庭
anjuke	[{"img":"http://d.pic1.ajkimg.com/display/xinfang/3d9c66427d00b0123bc35f40573d4156/240x180n.jpg","name":"21栋：","layout":"1室0厅1卫","area":"约1200.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/114b9ad0a4693ea25f5ff1838210ecb0/240x180n.jpg","name":"20栋：","layout":"1室0厅1卫","area":"约1200.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/ae4c829cb62f79e44090494fa2e43344/240x180n.jpg","name":"19栋：","layout":"1室0厅1卫","area":"约1200.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/782c6e25e153c394b0fadc4aa1979509/240x180n.jpg","name":"18栋：","layout":"1室0厅1卫","area":"约1200.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/982486b0f9e625ea6400d8abc013d3a0/240x180n.jpg","name":"17栋：","layout":"1室0厅1卫","area":"约1200.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/8f4fab9fa88ff2d5b974700c29cdc087/240x180n.jpg","name":"标办：","layout":"1室0厅1卫","area":"约1069.84平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/3474877fe6fc9050c3b99949d0c45154/240x180n.jpg","name":"独栋办公：","layout":"1室0厅1卫","area":"约1069.84平米"}]	万科虹桥云
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/4bd60bf2ee5785af6814afcb68352878/240x180n.jpg","name":"E户型：","layout":"4室2厅3卫","area":"约218.69平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/a5198376f85c29b18506d3f1d860fd11/240x180n.jpg","name":"D户型：","layout":"4室2厅3卫","area":"约223.09平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/45bf4b603c0c14364a61631b3e3d036d/240x180n.jpg","name":"天·御：","layout":"4室2厅2卫","area":"约293.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/00732cbba40897e6ff333597451191e9/240x180n.jpg","name":"天·萃：","layout":"4室2厅3卫","area":"约212.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/72468e63f4963269d0917c12f81b4f0c/240x180n.jpg","name":"天·澜：","layout":"3室2厅2卫","area":"约168.00平米"}]	融创滨江壹号院
anjuke	[{"img":"http://c.pic1.ajkimg.com/display/xinfang/f385132347dda7f623782f48aee69bfe/240x180n.jpg","name":"YJ115户型：","layout":"3室2厅2卫","area":"约115.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/100c223b5263f65836a5ec4de9b3d095/240x180n.jpg","name":"YJ85A户型：","layout":"3室2厅1卫","area":"约85.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/a418a4fdd5ce5e2f16be5123c55e7c7c/240x180n.jpg","name":"YJ140户型：","layout":"4室2厅2卫","area":"约140.00平米"}]	碧桂园嘉誉
anjuke	[{"img":"http://b.pic1.ajkimg.com/display/xinfang/955eaa83efd00df084eef461a4c1accd/240x180n.jpg","name":"C户型：","layout":"别墅","area":"约384.00平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/8cf5afad65a62d6f84df98c0f142c4c0/240x180n.jpg","name":"B户型：","layout":"别墅","area":"约350.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/2a93666230801876279fad56bedfc0d9/240x180n.jpg","name":"A户型：","layout":"别墅","area":"约300.00平米"}]	东郊罗兰别墅
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/d4aa443c4bb7b48539abb479b693b75b/240x180n.jpg","name":"E户型：","layout":"商住","area":"约43.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/fda75f6e73f7706725ecefa642039305/240x180n.jpg","name":"D户型：","layout":"商住","area":"约70.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/c33edb191e4c9abd89f9fbb1f6739ba6/240x180n.jpg","name":"C户型：","layout":"商住","area":"约96.00平米"}]	琉森公馆
anjuke	[{"img":"http://c.pic1.ajkimg.com/display/xinfang/fd03442699e8d5282942e6d6e782c4a5/240x180n.jpg","name":"B3户型：","layout":"3室2厅1卫","area":"约117.19平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/85ef9bb85c555073d5212ad7de0a5578/240x180n.jpg","name":"E1户型：","layout":"2室2厅1卫","area":"约85.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/aa7873d7b05d15cf4a609a028f90cbed/240x180n.jpg","name":"D2户型：","layout":"1室2厅1卫","area":"约62.83平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/138b8eccc6f64278aa2bde4f186cf78c/240x180n.jpg","name":"D1户型：","layout":"2室2厅1卫","area":"约87.73平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/0102203f7b2374418e9911d9bf4f287c/240x180n.jpg","name":"C2户型：","layout":"2室2厅1卫","area":"约80.78平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/c0f701e25cb1c6579cdeca12a6c128af/240x180n.jpg","name":"B2户型：","layout":"2室2厅1卫","area":"约79.19平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/20cff3681d5aaf0bb97f0f806f3079e0/240x180n.jpg","name":"C1户型：","layout":"2室2厅1卫","area":"约86.42平米"}]	天居玲珑湾
anjuke	[{"img":"http://a.pic1.ajkimg.com/display/xinfang/8acc11b8e8eee2b17e88a9b35b34ac96/240x180n.jpg","name":"111平米户：","layout":"2室2厅1卫","area":"约111.63平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/02062de03f40a1efb9152ebf3f8e58bf/240x180n.jpg","name":"99平米户型：","layout":"2室2厅1卫","area":"约99.72平米"},{"img":"http://a.pic1.ajkimg.com/display/xinfang/d446fd5937bc67c625ea039dd7a3ed00/240x180n.jpg","name":"95平米户型：","layout":"2室2厅1卫","area":"约95.32平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/f9b75566ff6225b30319609592696b2f/240x180n.jpg","name":"92平米户型：","layout":"2室2厅1卫","area":"约91.83平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/18cd79d0876ff602c4a50df2f08526e1/240x180n.jpg","name":"89平米户型：","layout":"2室2厅1卫","area":"约89.00平米"}]	三湘四季花城牡丹苑
anjuke	[{"img":"http://c.pic1.ajkimg.com/display/xinfang/6ef82dc8c45b1f4a7254127bc9520271/240x180n.jpg","name":"全家福：","layout":"3室2厅2卫","area":"约103.00平米"},{"img":"http://b.pic1.ajkimg.com/display/xinfang/9db2c84a3c3ed7ce98f2ac1a590d3e4b/240x180n.jpg","name":"悦活宅：","layout":"3室2厅1卫","area":"约93.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/f925623d4514d993180b2e4ae3a2a21e/240x180n.jpg","name":"乐活宅：","layout":"3室2厅1卫","area":"约91.00平米"},{"img":"http://d.pic1.ajkimg.com/display/xinfang/7eb9ec5fb3c6ac8ff32d5489381dd700/240x180n.jpg","name":"理想+：","layout":"4室2厅2卫","area":"约122.00平米"},{"img":"http://c.pic1.ajkimg.com/display/xinfang/63a87f900c683c3c2ab960188e0c7c35/240x180n.jpg","name":"E代居：","layout":"2室2厅1卫","area":"约78.00平米"}]	万科城
